Gene	Emp_Uns	Emp_IFNg	Emp_6hr_CpG	Emp_6hr_pIC	Emp_6hr_all3	NCoR1_Uns	NCoR1_IFNg	NCoR1_6hr_CpG	NCoR1_6hr_pIC	NCoR1_6hr_all3
Limch1	-1.14897437496989	0.244984924677105	-1.14897437496989	1.99523411890413	0.130002524798832	-0.313644013676484	0.718149836359859	-1.14897437496989	0.602237765187266	0.0699579686590163
Zfp672	-0.974218315048188	-0.665016261324421	1.42003404987561	0.323879384057235	1.44412167663652	-1.12791924312368	-1.12464190096509	0.46965716796755	-0.438271959896544	0.672375401821002
Kcnk10	-0.960290337745801	-0.960290337745801	-0.187217904419024	0.267115018076275	1.26470243981926	-0.960290337745801	-0.960290337745801	1.45405258622192	-0.167154785534526	1.20966399681926
Tgm2	1.55354393097141	1.57887788517675	-0.785425758714233	0.301195554244723	-0.827631360856668	0.195355803789214	0.390993299055078	-1.15964673855731	-0.183513368435495	-1.06374924667347
Elavl3	0.181208689232095	0.28983432343943	-1.16623623316054	-1.16623623316054	1.4896645510735	-0.00300141267048658	-0.0391584611636965	-0.0265409941129882	1.60670200368378	-1.16623623316054
Clstn3	-0.91131394323849	-0.91131394323849	-0.91131394323849	-0.91131394323849	-0.91131394323849	1.40554858374489	1.18607858859511	0.315595477173759	0.876692118052624	0.772654948626105
Hgd	-0.955187842833677	-0.175384195153275	-0.955187842833677	-0.955187842833677	1.46857958197147	-0.955187842833677	0.250989055408614	1.70503639717191	0.164293172393893	0.407237359542092
Dennd5a	-1.0450345011381	-1.0547927959594	0.204023538243312	1.16311730940478	1.29435540537536	-1.09630890680889	-1.13557482272033	0.456756043192614	0.226465556342501	0.986993174068149
Erg28	-0.466808442934024	-0.539766522334984	1.47155511953019	-0.913257140257975	1.2678565416375	-0.67939961988126	-0.662939416173085	0.917267551740923	-1.21300452448768	0.818496453160387
Syt5	2.41837782162829	-0.353224579880202	-0.277620616406384	-0.707012255127802	0.309353702873645	0.662815977778246	-0.248591390469281	-1.08616321631645	0.0968024918632308	-0.814737935943248
Serpinb1c	-0.154598596598546	-0.671241963820371	-1.07247651744259	1.46107494432069	-0.266301143035185	0.00857848950785005	-1.72996649931139	0.96925714279569	0.429625206220481	1.02604893736341
Fam209	-0.736776521196849	0.977854839293594	0.826542892773025	-0.00430920139775145	-0.931756983401361	1.47425458439701	0.708083657620611	-0.181318882871557	-0.370595042723238	-1.76197934249351
Ocel1	0.284408259151417	-0.0356150982412408	0.412642509372468	-2.21263697070393	-0.750038228453848	0.503577970583381	1.49756511360786	0.562957508433518	-0.601264965703789	0.338403901954164
Selenoo	1.1991284935086	1.31323512969501	-0.430935978713651	0.743018844517397	-0.182798045875295	0.488094668599554	0.452303132199194	-0.741861974970016	-1.27900821634663	-1.56117605261416
Foxj2	-0.486658741036871	-0.337485066090061	1.15104806168808	-0.295236733338613	-1.84444882739247	0.768771917939094	0.354831780798069	0.175923022224096	1.47227924838718	-0.959024663178542
