genes	cluster
Pofut1	1
Atp6ap1	4
Itga5	1
P2ry2	1
Lap3	6
Cyth3	17
Sppl2a	2
Dmpk	4
Nos2	1
Gbp2b	2
Proser2	5
Uvrag	8
Anxa7	16
Dennd3	6
Helz2	3
Rusc1	9
Fam49a	3
Ncf1	2
Tle5	4
Ppfibp2	11
Rnase6	5
Rtl8a	5
Naa20	1
Sigmar1	23
Samd9l	10
Bnip5	25
Gpd1l	5
Hes1	4
Hlcs	5
Mt1	15
Cat	5
Mctp1	5
Rras2	19
Apol9b	2
Cenpo	5
Trp53inp2	1
Ube2f	1
Igfbp4	11
Rps6ka2	17
Ncoa7	2
Gpr34	8
Stx6	1
Ddr2	27
Gramd2	14
Fbxl14	4
Tchh	4
Stxbp1	16
Fam214b	1
Fosl2	21
Junb	1
Pcgf5	6
Rab12	6
Ikzf4	7
Sgms1	4
Rilpl2	1
Heatr9	6
Zup1	2
Tac1	29
Cited2	6
Rap2a	3
Synpo2	1
Rnf34	1
Cers6	18
Plekhm3	5
Fam129a	6
Farp1	18
Zbtb5	7
Urgcp	19
Srgap3	5
Kcnk13	5
Cdh1	4
Narf	23
X4930552P12Rik	1
Def8	5
Ldlr	1
Plekho1	8
Itga1	4
Plpp3	5
Resf1	2
Plpp1	8
Tbc1d1	6
Clec4a1	1
Ocln	7
Tent5c	1
X1700025G04Rik	5
Manba	5
Slc7a7	9
Lrp1	15
Sh2b2	5
Cpne8	29
Kif21b	1
C1qb	1
Tgfbr1	24
Slc38a9	5
Abhd15	23
Atp6v0a2	24
Cd244a	4
Osbpl3	4
Prr5	5
Slc23a2	10
Ccr3	1
Rarb	8
Asb13	1
Bco2	19
Rhof	3
Otud7b	6
Gucd1	2
Polr3c	2
Fndc3a	1
Kcnn1	1
Mx2	2
Tor1aip1	2
Cd34	4
Ptpn12	4
Cfap298	23
Tbc1d32	3
Pdgfb	11
Itgax	23
Ttc39c	6
Tmem120b	1
Gpsm3	5
Ostm1	4
Gm5861	17
Map2k1	6
Arap2	32
Sting1	4
Etnk1	2
Tmem176b	1
Traf4	25
X5730507C01Rik	29
Dgkh	1
Evi2a	8
Adap2	2
Plod3	1
Myo18b	2
Tmem131	3
Sec23b	7
AA467197	6
Zyx	8
Itpkc	7
Gpx1	4
Zfp599	11
Paqr4	5
D17H6S56E.5	1
Asah1	5
Depdc7	1
Gpr33	16
Rasgrf2	5
Rmnd5b	5
Kank4	9
Tanc2	8
Mllt3	9
Ccl1	1
Gpr68	7
Hs3st3b1	8
Lgals1	32
Plbd1	5
X4930486L24Rik	8
Tnfsf13b	5
Fut8	1
Cd8b1	3
Colgalt1	5
Mmp9	15
Stat3	6
Abca3	22
Xrcc6	23
Tmem8	5
Bank1	9
Adgrb2	19
Igtp	2
Parp11	2
Rasgrp3	5
X1700017B05Rik	23
Col5a3	3
Bbs9	5
Nupr1	1
Pigz	11
Lrrc3	5
Slamf8	8
Zfp652	5
Dnd1	18
Pde9a	9
