genes	cluster
S1pr1	2
Akap13	1
Il7r	2
Pald1	3
Gfi1b	2
Rasgrp4	3
Sbds	1
Cybb	1
Samsn1	1
Gpx1	3
Tnfrsf11a	1
Smarce1	2
Klk15	2
Pigz	2
Gm1965	3
Abhd17a	3
Plagl2	2
Cptp	1
Oaf	1
Tnfrsf13b	1
Sipa1	3
Adi1	3
Cyfip2	5
Creld2	3
Junb	1
Bcl9	1
Plpp3	3
Itga1	3
Scnn1g	1
Ing1	2
Acox3	3
Ago4	3
Etnk1	1
Naa20	1
Hrc	2
Mthfr	1
Tmem63a	3
Oas1b	1
Cd70	1
Lpcat1	3
Rab19	3
Pacc1	3
Scn4b	1
X9130015A21Rik	1
Zfp217	1
Cd302	3
Pnp	1
Smap2	1
Igf2bp2	2
C130026I21Rik	1
Sh2b2	3
Ncf1	1
Parp11	1
Srgap3	3
Coro1a	3
H2.T24	1
Gramd2	2
Nedd9	3
Cfap298	3
Dennd2c	3
Eef2k	5
Plbd1	3
Acad9	2
Smarca2	3
Pglyrp2	1
Rhou	1
Ckb	7
Rnf114	1
Alas1	2
Stat2	1
Clec2d	1
Plekhm3	3
Ptger3	3
Tnfaip8l3	5
Rbpj	1
Rcsd1	1
Lrrk1	4
Tchh	5
Cabp4	2
Gm1966	1
Susd1	3
Synpo	3
Papss1	3
Tnfsf8	1
Metrn	3
Plcb2	3
Kcnk6	1
Ifi205	1
Fam126a	1
Adap2	1
Tnfaip8l2	3
Trafd1	1
Zcchc2	1
Parp10	1
Pdzk1ip1	2
Mex3b	2
Pi4k2b	1
Sgcb	1
Lrrc1	3
Klk1b22	2
Slc15a3	2
Irf2bp2	8
Arhgef3	1
X4930523C07Rik	1
Nr4a1	2
H2.DMb2	5
F11r	2
Wfdc21	2
Kcnk13	3
Septin6	5
Ust	3
Coro2a	4
Pdxk	3
Rusc1	3
Usp22	1
Fzd7	3
Gpr33	4
Il12a	2
Slc23a2	1
H2.Ab1	5
Art2a	1
Mllt3	5
Srgn	1
Lmo2	3
Tcf19	3
Aebp2	1
Nub1	1
Aida	1
Hspg2	3
Tagap	2
Gpr4	2
Abcc8	3
Adss	2
Card19	4
Osgin1	3
Cyp8b1	3
Casp6	7
Siglecg	5
Gpr34	3
Stxbp1	4
Zyx	3
Slc11a2	2
Lpar6	3
Def8	3
Ninj1	1
Clic4	1
Gna15	3
Hnrnpll	3
Ddr2	5
Arhgef9	3
Prkag2	3
Gucy2c	3
Ier5	2
Ppif	2
Rras2	2
Mob3a	1
Pfkp	4
Atmin	1
Gtpbp1	1
Cct3	1
Csf1	1
Tle5	3
Tlr3	3
C1qa	2
Sh3pxd2a	2
Egln1	3
Dnd1	1
Clec2i	1
BC028528	5
Ccn2	3
Tor1aip1	1
Casz1	4
H2.Q4	1
Galnt7	2
Paqr4	3
Trim30a	1
Cerk	3
Proser2	3
Slc22a15	2
Spred2	3
Tmem86a	3
Prr5	3
Plk2	1
Tsku	2
Rab8b	1
Rassf2	1
Smyd1	2
Bcl2l14	1
Pik3r5	1
Trp53inp2	2
Fermt3	3
Anxa3	1
Mdfic	4
Tbc1d10a	2
Mxd3	3
Slc9a3r1	2
Fndc3a	1
Camk1	3
Dnaja2	1
Dcaf12	3
Phldb1	1
Narf	3
Nfatc2	3
Rap1gap2	3
Slc49a4	1
Rasgrf2	3
Nxn	3
Bcl2	3
Lrrc3	3
Kdm5c	2
Pcp4	1
Hdgfl3	3
Casp4	1
Mrps7	2
Zcchc24	5
Dhrs7	3
Gcnt4	2
Snx25	3
Fxyd5	3
Plxdc1	5
Upp1	1
Marchf1	3
Osbpl3	3
D17H6S56E.5	2
Psg16	1
Ptgs1	3
Zfp652	3
Smad3	1
Xxylt1	3
Rufy3	1
Riok3	1
Cyp4f16	3
Akap17b	3
Fam72a	2
Slc48a1	3
Rxra	9
Timd2	2
Hps3	3
Acsl1	1
Entpd6	3
Otud5	1
Atp1b3	3
Vim	5
Denr	2
Spock1	2
Prss30	3
Slfn3	1
Cytip	1
X4931428F04Rik	2
Pde2a	1
Ifi35	1
Kremen2	3
B4galnt4	2
Rhoc	1
Ctnnal1	1
Kif1b	4
Itgae	3
Cpt1a	5
Ube2f	1
Fnbp1l	1
Afap1	1
Cttnbp2nl	1
Ccl9	2
Sirt1	1
Stk4	4
Hadh	3
Me2	3
Svil	3
Dna2	3
Tnfrsf18	7
Acadm	3
Mob3c	1
Ndrg2	1
Lifr	5
C9orf72	1
Emp2	5
Serpinb9b	1
Pstpip2	1
Ms4a6d	2
Colgalt1	3
Ikzf4	1
Stxbp3	4
Nod2	5
Fam171a2	3
Cd86	1
Tpst2	5
Agl	3
Antxr2	5
Cers5	3
Enpp1	3
