PeakID	Irf1_0	Irf1_120	Irf4_0	Irf4_120	Junb_0	Junb_120	Rela_0	Rela_120	Relb_0	Relb_120	Rel_0	Rel_120	Stat1_0	Stat1_120	Stat2_0	Stat2_120	Stat3_0	Stat3_120
peak20534	19.94	21.90	36.03	14.83	21.78	22.96	3.34	22.25	5.19	20.79	3.22	7.98	1.33	9.48	9.57	5.13	3.14	6.40
peak17649	5.54	6.44	4.50	7.12	4.67	0.00	1.11	1.93	1.04	0.00	4.83	3.19	2.54	3.79	1.37	14.11	2.51	3.20
peak14546	2.22	2.58	4.50	2.97	3.11	1.91	1.11	1.93	0.00	5.20	0.00	1.60	2.18	0.89	2.73	1.92	0.63	0.80
peak2412	5.54	14.17	6.00	7.12	6.22	13.39	1.11	13.54	4.16	6.24	1.61	3.19	3.75	7.25	2.73	4.49	0.63	12.80
peak19754	3.32	3.87	15.01	6.53	3.11	0.00	3.34	13.54	5.19	3.12	0.00	1.60	2.54	5.13	0.00	3.21	3.77	2.40
peak4013	5.54	3.87	9.01	5.34	34.22	42.09	2.23	6.77	2.08	3.12	1.61	1.60	1.21	2.57	1.37	2.57	0.00	1.60
peak22674	2.22	6.44	0.00	1.78	0.00	0.00	1.11	12.57	0.00	5.20	1.61	1.60	1.33	7.70	0.00	3.85	2.51	4.80
peak14169	4.43	6.44	3.00	4.75	0.00	0.00	1.11	1.93	1.04	1.04	0.00	0.00	0.48	4.02	0.00	3.85	0.63	0.80
peak3767	2.22	1.29	3.00	1.19	0.00	0.00	1.11	2.90	3.12	2.08	0.00	0.00	2.42	1.00	0.00	0.00	3.14	4.00
peak24383	9.97	14.17	13.51	8.90	56.00	57.40	5.57	60.93	3.12	19.75	3.22	6.38	2.78	5.91	2.73	4.49	0.63	13.60
peak2226	13.29	27.06	6.00	8.30	15.56	34.44	27.87	63.83	4.16	28.06	6.44	30.32	1.69	11.05	6.84	5.77	2.51	10.40
peak3034	2.22	0.00	0.00	0.00	0.00	0.00	0.00	0.97	0.00	2.08	1.61	0.00	0.97	0.33	0.00	2.57	0.63	0.00
peak15932	4.43	2.58	7.51	4.15	0.00	0.00	2.23	2.90	2.08	5.20	0.00	0.00	1.81	1.56	0.00	3.85	0.63	0.00
peak14440	0.00	0.00	0.00	1.19	0.00	0.00	0.00	1.93	1.04	0.00	1.61	1.60	0.24	1.23	0.00	1.92	0.00	0.00
peak3314	1.11	6.44	7.51	1.78	3.11	3.83	0.00	6.77	0.00	2.08	0.00	4.79	0.48	2.45	0.00	2.57	1.89	0.80
peak30147	7.75	5.15	3.00	5.34	4.67	7.65	0.00	10.64	3.12	7.28	3.22	3.19	2.30	4.02	1.37	6.41	0.63	6.40
peak12393	0.00	0.00	0.00	1.19	0.00	0.00	0.00	2.90	1.04	0.00	1.61	3.19	0.12	0.22	2.73	0.64	1.26	0.00
peak23366	2.22	2.58	0.00	0.59	0.00	1.91	0.00	1.93	1.04	1.04	3.22	6.38	1.09	0.67	0.00	0.64	0.63	0.80
peak8566	1.11	12.89	6.00	7.71	4.67	11.48	2.23	3.87	5.19	2.08	1.61	0.00	2.06	11.05	5.47	11.54	1.26	3.20
peak8301	1.11	2.58	1.50	1.78	4.67	1.91	2.23	0.00	1.04	2.08	0.00	0.00	1.09	1.45	0.00	1.28	1.26	4.80
peak1818	0.00	0.00	3.00	1.78	0.00	0.00	1.11	0.00	1.04	1.04	0.00	0.00	2.30	1.56	2.73	1.28	1.89	2.40
peak26564	5.54	15.46	15.01	4.15	23.34	65.05	1.11	49.33	8.31	12.47	3.22	9.58	1.33	7.03	2.73	3.21	2.51	20.00
peak27779	3.32	15.46	19.51	13.05	21.78	70.79	4.46	51.26	3.12	12.47	3.22	15.96	1.69	3.68	1.37	0.64	2.51	4.80
peak24864	1.11	0.00	3.00	0.00	0.00	1.91	1.11	3.87	0.00	3.12	0.00	3.19	2.06	1.79	0.00	1.28	0.63	2.40
peak6463	0.00	16.75	0.00	2.97	0.00	3.83	1.11	19.34	1.04	10.39	3.22	7.98	0.36	6.14	0.00	3.85	0.63	3.20
peak20685	7.75	5.15	1.50	0.59	0.00	5.74	0.00	3.87	2.08	2.08	1.61	4.79	1.81	1.34	1.37	1.92	2.51	1.60
peak11072	3.32	2.58	10.51	1.78	3.11	11.48	6.69	2.90	1.04	4.16	1.61	7.98	0.85	1.90	1.37	0.64	0.00	0.00
peak27151	13.29	9.02	7.51	18.98	28.00	17.22	3.34	16.44	3.12	1.04	3.22	0.00	2.06	4.02	2.73	1.92	1.26	4.00
peak3285	2.22	2.58	3.00	2.97	0.00	1.91	1.11	0.00	1.04	3.12	1.61	3.19	0.36	2.12	2.73	1.92	0.00	1.60
peak14417	2.22	5.15	0.00	0.00	0.00	1.91	3.34	0.00	1.04	1.04	0.00	0.00	0.48	1.00	2.73	0.00	1.89	1.60
peak6181	1.11	9.02	0.00	3.56	3.11	1.91	0.00	7.74	4.16	2.08	1.61	3.19	2.30	0.78	2.73	2.57	1.89	1.60
peak11817	6.65	10.31	6.00	26.69	18.67	28.70	7.80	19.34	2.08	16.63	3.22	6.38	3.27	4.13	0.00	12.18	0.63	4.00
peak5924	4.43	1.29	4.50	2.97	6.22	1.91	0.00	1.93	1.04	2.08	1.61	4.79	0.60	1.45	0.00	1.28	0.63	0.00
peak25244	7.75	9.02	7.51	3.56	7.78	5.74	0.00	8.70	2.08	0.00	0.00	0.00	0.73	2.12	2.73	3.85	1.89	3.20
peak18189	5.54	1.29	7.51	6.53	24.89	13.39	1.11	5.80	0.00	2.08	1.61	3.19	0.85	0.78	0.00	0.64	1.89	4.00
peak18423	0.00	0.00	0.00	0.59	0.00	5.74	1.11	8.70	2.08	0.00	1.61	0.00	1.69	1.34	1.37	0.64	0.63	3.20
peak29989	3.32	1.29	3.00	3.56	9.33	5.74	2.23	0.97	0.00	0.00	3.22	0.00	0.73	0.78	2.73	1.28	0.00	0.00
peak7263	0.00	2.58	0.00	0.00	0.00	1.91	0.00	0.00	2.08	1.04	1.61	0.00	1.57	0.78	1.37	0.64	1.26	0.80
peak24199	2.22	2.58	12.01	4.75	7.78	3.83	2.23	3.87	1.04	1.04	0.00	0.00	0.60	1.45	2.73	0.00	0.00	1.60
peak23422	1.11	2.58	10.51	4.75	4.67	0.00	3.34	2.90	2.08	2.08	0.00	0.00	2.06	2.12	0.00	0.00	0.63	0.00
peak10460	11.08	12.89	33.02	21.95	7.78	7.65	2.23	13.54	3.12	3.12	6.44	12.77	3.63	7.48	10.94	6.41	1.89	2.40
peak2419	3.32	0.00	3.00	2.97	1.56	1.91	1.11	2.90	2.08	0.00	1.61	3.19	2.18	1.34	0.00	1.92	1.26	0.00
peak18749	3.32	45.10	0.00	4.75	9.33	13.39	1.11	9.67	4.16	10.39	0.00	11.17	2.78	4.02	0.00	1.28	0.63	7.20
peak9089	3.32	7.73	12.01	1.78	10.89	5.74	1.11	2.90	6.23	4.16	0.00	3.19	0.60	1.12	5.47	0.64	2.51	2.40
peak11307	9.97	20.62	16.51	5.34	3.11	15.31	0.00	22.25	4.16	10.39	0.00	4.79	0.85	5.13	4.10	3.21	4.40	6.40
peak23088	4.43	3.87	6.00	7.12	4.67	9.57	6.69	6.77	2.08	5.20	0.00	1.60	0.60	2.57	0.00	5.13	3.77	3.20
peak7571	46.53	34.79	33.02	18.39	35.78	36.35	4.46	20.31	5.19	5.20	11.27	11.17	0.73	7.70	6.84	4.49	3.14	5.60
peak3113	0.00	0.00	0.00	2.97	0.00	3.83	0.00	0.97	0.00	0.00	0.00	0.00	0.24	1.79	1.37	3.21	0.00	1.60
peak7809	0.00	0.00	0.00	0.00	0.00	3.83	0.00	6.77	3.12	11.43	0.00	3.19	0.00	1.67	1.37	0.00	1.89	0.00
peak10854	7.75	5.15	0.00	3.56	24.89	15.31	0.00	8.70	2.08	10.39	3.22	3.19	0.85	3.24	4.10	2.57	0.63	3.20
peak786	13.29	54.12	7.51	10.08	0.00	15.31	0.00	15.47	4.16	2.08	1.61	7.98	2.18	20.86	0.00	15.39	3.14	0.80
peak23379	5.54	6.44	6.00	2.37	3.11	9.57	0.00	2.90	0.00	2.08	1.61	1.60	2.54	2.34	0.00	1.28	0.63	0.00
