PeakID	Uns	CpG	pIC	all3	PU.1_0hr	PU.1_CpG	PU.1_pIC	Rela_0hr	Rela_CpG	RelB_CpG	p300_0hr	p300_CpG	p300_pIC	cREL_0hr	cREL_CpG	cREL_pIC	IRF3_0hr	IRF3_CpG	IRF3_pIC	IRF5_0hr	IRF5_CpG	IRF5_pIC
peak23694	33.49	48.97	25.46	39.27	21.40	15.77	14.57	4.15	6.15	2.42	4.12	7.89	10.36	2.88	4.08	2.36	29.29	10.60	29.77	1.44	5.72	3.71
peak27654	6.64	8.07	7.92	19.63	8.35	13.02	10.58	0.00	0.00	2.07	2.32	4.44	3.95	1.15	4.59	2.36	0.00	7.57	10.21	4.72	9.12	10.83
peak25173	2.02	6.05	1.98	2.28	15.14	9.77	12.22	0.00	1.03	0.00	0.77	0.99	0.99	0.58	0.51	1.77	4.44	0.76	0.85	1.44	1.08	0.71
peak18864	16.74	14.69	20.94	20.77	65.25	53.08	57.35	0.46	4.10	20.74	7.22	6.41	6.41	2.30	11.73	5.30	19.52	19.69	34.02	5.75	14.07	11.26
peak5112	6.06	10.95	18.67	15.65	21.92	39.06	45.13	4.61	13.33	11.06	3.87	13.81	7.40	3.45	59.68	27.11	3.55	12.87	29.77	2.26	20.87	12.40
peak29353	10.68	3.17	5.66	4.84	6.00	8.51	9.87	0.46	0.00	1.38	0.77	0.99	1.48	0.00	0.00	2.36	4.44	1.51	4.25	6.37	2.63	2.57
peak13808	1.73	2.59	4.24	7.40	0.52	0.75	2.59	0.00	4.61	3.46	1.29	1.97	0.00	0.00	0.51	0.00	5.32	0.76	5.10	1.85	4.17	3.14
peak28848	0.87	2.30	1.98	6.54	0.00	0.25	0.47	0.00	0.00	0.69	0.26	0.00	0.00	0.00	0.00	1.18	0.00	1.51	0.00	0.62	0.31	0.00
peak7150	160.22	219.78	99.87	200.88	49.33	43.82	42.07	2.31	24.60	36.29	12.88	23.19	16.28	4.60	49.99	11.79	156.20	128.73	198.19	6.37	61.99	54.16
peak13240	38.97	36.01	26.31	46.38	14.88	12.52	13.87	2.77	3.08	21.08	3.87	3.45	0.99	1.73	6.12	1.77	21.30	15.90	22.97	3.90	2.78	3.14
peak9808	4.91	4.61	1.13	3.13	0.52	0.75	1.88	0.00	2.05	0.35	1.03	0.49	0.49	0.00	1.02	0.59	2.66	1.51	0.85	0.62	1.24	0.71
