PeakID	Uns	CpG	pIC	all3	PU.1_0hr	PU.1_CpG	PU.1_pIC	Rela_0hr	Rela_CpG	RelB_CpG	p300_0hr	p300_CpG	p300_pIC	cREL_0hr	cREL_CpG	cREL_pIC	IRF3_0hr	IRF3_CpG	IRF3_pIC	IRF5_0hr	IRF5_CpG	IRF5_pIC
peak23697	5.20	15.55	20.37	29.59	2.61	7.26	7.05	1.84	20.50	26.61	2.06	6.41	7.89	1.15	49.48	52.45	4.44	24.23	41.68	3.29	39.73	28.08
peak7700	38.40	17.57	34.80	16.79	76.73	69.11	61.82	0.00	13.33	7.60	14.95	32.56	19.24	2.30	10.71	5.89	26.62	46.95	60.39	5.96	31.07	24.23
peak16084	38.40	37.73	37.63	47.23	38.37	32.80	37.84	0.00	30.75	35.95	19.33	17.76	12.82	1.15	25.51	18.86	17.75	46.19	67.20	14.58	22.88	25.80
peak28897	2.60	6.63	8.49	13.66	0.78	0.50	0.94	0.92	2.05	6.91	1.29	0.00	0.99	0.00	4.59	2.36	0.00	1.51	5.10	1.85	1.86	3.99
peak27618	4.62	18.15	8.49	22.48	3.39	3.51	2.35	0.92	4.10	12.10	1.80	1.48	3.45	2.30	11.22	2.36	3.55	21.20	21.26	3.90	9.89	3.28
peak18038	6.93	3.17	3.68	1.14	0.00	0.25	0.47	0.46	0.00	2.07	0.77	3.45	0.49	0.00	0.00	1.18	0.00	0.00	0.85	4.93	3.40	3.14
peak11510	11.84	11.52	13.30	9.11	21.40	17.03	25.15	0.00	1.03	5.88	1.80	7.40	6.41	0.58	16.32	13.56	45.26	64.37	96.12	5.75	40.04	27.79
peak23612	4.62	0.58	3.11	1.14	3.39	1.75	3.06	0.92	0.51	0.69	0.52	0.99	0.00	2.30	0.51	4.13	0.00	3.03	3.40	0.21	1.08	0.29
peak10014	12.13	8.93	7.92	5.69	16.70	21.53	23.27	0.00	8.20	15.55	2.83	8.39	5.43	1.73	22.45	13.56	6.21	6.82	11.06	6.78	18.24	20.95
peak738	5.49	2.30	2.55	3.70	4.18	3.51	2.35	0.00	1.03	0.69	2.58	2.47	0.00	1.73	2.55	2.36	17.75	8.33	12.76	3.49	5.57	4.70
peak7289	2.60	4.32	1.41	7.68	3.13	1.25	2.59	0.00	1.54	2.07	2.32	1.97	2.47	1.73	5.10	2.95	14.20	11.36	13.61	3.49	9.43	7.98
peak23135	6.06	13.83	14.15	15.36	5.48	7.51	7.76	1.84	6.66	27.31	1.29	4.93	3.95	2.30	5.61	7.66	16.86	27.26	39.13	2.88	15.30	15.53
peak7993	1.44	2.02	8.49	1.71	1.04	1.00	0.71	0.00	0.00	0.69	1.29	1.48	0.49	0.58	1.02	0.00	0.89	0.76	0.85	1.64	1.39	2.28
peak11820	1.73	2.59	0.85	6.83	0.78	0.75	0.24	3.69	0.00	0.00	0.77	0.49	0.49	0.00	1.02	0.00	0.00	0.76	0.00	0.21	0.15	0.14
peak19979	0.58	4.90	0.00	1.71	1.04	1.25	2.12	1.38	0.00	0.35	0.77	0.99	0.00	0.00	1.02	0.00	0.00	0.00	0.85	1.64	0.46	1.00
peak13206	4.62	13.83	12.45	19.35	2.35	5.26	4.00	0.00	3.08	10.72	0.52	3.45	1.48	4.03	2.04	1.18	4.44	5.30	6.80	0.82	2.16	2.00
peak3325	20.50	6.34	6.22	8.25	37.32	30.80	31.50	1.38	2.05	2.77	7.22	7.89	4.44	0.00	6.63	4.71	28.40	30.29	32.32	5.96	8.35	11.54
peak29443	7.51	50.41	45.27	54.35	4.96	10.52	14.34	0.00	28.19	23.16	1.29	6.41	4.44	0.58	18.87	11.20	3.55	14.39	13.61	1.23	13.91	12.54
peak19056	6.93	11.81	25.46	23.62	6.26	8.76	9.17	1.38	17.94	30.76	1.55	8.39	5.43	1.15	17.34	6.48	1.77	13.63	28.92	2.26	13.91	15.68
peak10543	2.89	17.00	9.62	31.58	1.57	4.26	6.35	0.92	5.64	25.58	1.80	2.96	2.96	1.15	7.14	2.36	3.55	0.76	2.55	1.03	5.72	6.84
peak4642	50.23	32.55	33.67	38.98	14.35	15.77	15.28	2.77	6.15	8.64	6.96	10.36	7.40	0.58	6.63	1.18	18.64	16.66	40.83	3.90	9.89	17.67
peak1337	6.06	8.64	14.15	5.41	9.92	12.27	11.75	1.38	2.05	6.22	1.29	2.96	1.48	2.30	6.63	3.54	1.77	4.54	1.70	1.64	4.02	3.85
peak28698	3.75	2.59	9.62	8.54	16.70	10.52	11.75	4.61	1.03	0.00	3.35	1.97	3.95	0.58	2.04	0.59	7.99	8.33	2.55	4.11	3.86	5.27
peak23469	1.44	10.66	16.41	17.64	0.78	0.75	2.59	0.92	2.56	13.13	1.29	2.96	5.92	0.58	5.61	11.20	0.89	0.76	13.61	0.82	5.57	9.26
peak24493	3.46	4.03	5.09	8.82	9.92	14.52	12.22	0.92	4.10	7.26	1.55	1.48	2.96	0.58	0.51	1.18	1.77	2.27	0.85	0.82	0.93	2.00
peak15438	0.87	2.30	7.07	3.41	8.87	11.27	11.05	0.00	3.08	1.73	2.06	1.48	2.47	0.58	3.06	1.18	7.99	4.54	12.76	1.44	6.18	5.13
peak2522	1.15	8.07	7.92	23.33	1.57	2.00	5.17	1.38	3.08	5.88	0.77	2.96	2.96	0.58	3.06	4.71	1.77	4.54	15.31	0.21	1.70	2.14
peak26119	1.44	0.00	7.36	0.28	4.44	6.51	8.23	1.38	3.59	2.07	0.77	2.96	3.45	0.00	1.53	0.59	0.89	3.79	0.00	1.64	1.55	1.28
peak11800	4.62	10.08	2.26	15.36	5.48	10.77	4.70	1.38	3.08	5.88	0.52	3.45	1.48	0.58	2.55	1.18	4.44	4.54	2.55	0.00	2.47	2.85
peak29813	11.84	3.17	3.40	3.41	5.48	3.51	4.94	0.00	0.51	3.80	2.06	3.45	1.48	0.00	0.51	0.00	17.75	22.72	39.13	1.64	4.02	4.42
peak8143	57.74	46.38	16.13	30.73	35.50	25.79	21.62	6.00	1.03	2.07	12.88	7.40	5.43	0.58	3.06	3.54	13.31	19.69	20.41	7.19	7.11	4.42
peak29231	30.60	10.66	19.80	6.26	63.42	48.08	43.95	0.92	5.13	3.11	5.93	5.92	3.45	0.58	10.71	11.20	78.10	63.61	81.66	2.46	14.38	15.96
peak13117	40.99	25.64	26.03	18.21	49.59	33.55	42.07	1.84	2.05	13.13	16.49	7.40	9.87	2.30	8.16	4.71	71.00	68.91	67.20	20.75	18.86	15.39
peak14672	19.92	17.00	7.36	13.94	22.18	17.53	16.22	1.84	2.56	4.15	0.77	1.97	0.99	0.58	0.51	1.77	5.32	7.57	6.80	2.67	2.32	3.99
peak23845	3.75	14.98	30.27	23.33	9.13	31.30	29.62	1.84	53.82	60.14	0.77	36.01	21.70	1.15	91.82	57.76	0.00	24.23	56.99	4.72	85.95	61.14
peak8400	0.87	6.34	8.49	3.98	1.57	1.50	3.29	2.31	1.03	2.42	0.52	0.49	0.49	1.73	2.04	1.77	0.89	0.76	0.85	0.62	0.46	2.00
peak1989	2.89	1.15	6.51	1.42	1.57	1.00	2.35	0.92	2.05	2.07	0.77	0.49	0.00	0.58	2.04	2.36	1.77	3.03	1.70	0.62	1.39	1.28
peak3058	19.34	19.30	9.34	25.61	6.26	4.51	6.11	0.46	1.54	4.15	1.55	2.96	2.96	1.15	2.55	2.36	4.44	9.84	18.71	4.31	5.41	4.28
peak11387	8.08	10.95	18.67	33.86	0.26	0.75	0.24	0.92	0.00	0.69	0.77	0.99	0.99	1.73	3.06	1.18	1.77	3.03	0.85	4.72	4.48	2.42
peak6886	4.33	6.34	17.54	13.37	5.22	12.02	14.34	4.61	13.84	19.36	2.06	3.95	3.45	3.45	39.28	35.36	4.44	9.84	30.62	3.29	10.67	12.26
peak24189	1.15	4.32	1.70	10.81	0.26	0.50	1.65	0.92	12.30	20.05	1.55	3.45	2.96	0.00	6.12	4.71	0.89	3.03	7.66	0.62	6.65	9.55
peak11734	8.37	11.23	21.50	23.62	4.44	6.01	7.52	0.00	11.28	7.26	1.80	4.93	2.47	3.45	3.57	7.07	2.66	6.82	12.76	1.23	10.05	8.27
peak1611	27.71	20.16	31.12	22.76	50.89	54.34	43.01	3.69	6.66	7.95	1.80	2.96	3.45	0.00	3.57	2.95	3.55	0.76	4.25	22.80	14.69	18.67
peak3445	17.90	8.07	20.94	13.09	27.14	30.30	32.44	3.23	9.23	4.84	5.41	11.84	8.88	0.00	14.28	17.68	38.16	31.80	19.56	5.96	10.51	17.67
peak13184	35.51	21.03	28.29	18.21	28.97	28.54	20.21	0.92	11.28	3.11	8.25	5.43	5.43	2.30	7.14	4.71	25.74	23.47	33.17	6.37	18.55	23.94
peak16179	6.93	4.03	3.40	4.55	6.26	5.76	8.23	0.00	1.54	1.04	1.80	1.48	2.47	0.58	0.00	2.36	0.89	3.79	5.95	2.46	3.86	4.99
peak4690	11.26	88.43	49.23	110.11	2.61	13.27	8.93	1.84	58.43	49.08	2.32	25.65	13.32	1.15	60.19	33.00	9.76	6.06	46.78	6.57	56.58	48.74
peak7769	13.57	12.39	11.32	17.93	11.74	19.53	18.57	0.00	8.20	19.01	3.35	13.81	10.85	1.73	32.65	11.79	6.21	26.50	41.68	2.26	23.03	10.26
peak18308	17.61	11.52	11.03	24.75	7.83	6.76	8.70	2.77	5.13	3.11	2.06	2.96	5.92	0.00	7.14	5.30	22.19	14.39	40.83	3.29	18.09	14.39
peak17411	2.02	8.07	3.11	12.23	0.78	0.50	0.24	0.00	7.69	3.11	1.29	2.96	0.49	2.88	2.55	3.54	0.00	0.00	0.85	0.41	1.24	1.57
peak25760	29.45	60.20	79.50	71.70	10.18	15.02	16.45	0.92	10.25	18.32	3.61	9.87	10.36	2.88	21.43	19.45	18.64	20.45	82.51	2.46	42.51	37.77
peak916	2.89	20.45	1.98	23.62	1.57	1.75	3.06	0.00	1.54	0.69	2.58	1.97	2.96	1.15	1.53	0.00	1.77	6.82	0.85	1.64	2.94	2.71
peak20596	0.58	2.59	1.41	5.69	1.57	0.25	0.47	0.46	3.08	0.00	0.26	0.49	0.99	0.58	0.51	0.59	0.00	0.00	0.00	1.64	0.62	1.00
peak8312	25.12	6.34	2.55	3.13	13.57	9.77	6.11	0.00	0.00	4.49	5.93	2.96	1.97	1.73	1.53	2.95	0.00	5.30	4.25	2.67	3.40	3.71
peak29052	0.58	4.90	3.40	4.27	2.35	1.75	1.65	0.92	1.03	2.42	1.03	1.48	0.99	1.15	2.55	0.00	0.00	1.51	0.00	0.21	1.55	1.28
peak28071	0.87	6.91	0.85	6.26	0.78	0.25	1.41	1.84	0.00	3.46	1.29	1.97	1.97	1.15	3.06	0.59	0.89	0.00	2.55	1.23	1.55	1.14
peak24168	8.37	12.10	24.61	17.36	16.44	11.27	9.87	1.84	1.54	3.46	2.83	1.97	0.49	0.58	0.00	1.77	6.21	1.51	6.80	0.82	1.86	1.28
peak4955	31.47	20.74	36.78	30.73	25.58	25.29	25.62	0.92	5.64	2.77	7.73	7.40	11.84	0.00	8.67	3.54	10.65	39.38	43.38	1.85	9.74	9.55
peak21832	50.81	39.18	36.50	30.44	1.04	1.25	1.65	1.38	3.59	2.77	0.52	0.99	1.97	0.00	1.53	0.59	0.00	1.51	0.00	9.65	4.02	5.84
peak12018	1.15	9.22	1.41	9.96	0.78	1.50	1.65	0.00	8.71	27.31	1.03	2.96	2.47	0.00	0.51	3.54	0.00	0.00	5.95	0.41	1.55	2.00
peak19991	21.36	12.39	10.75	9.67	31.84	29.30	24.44	0.00	2.05	5.53	4.90	3.95	3.45	1.15	5.61	4.13	27.51	15.90	33.17	6.37	10.82	6.56
peak23090	8.66	11.23	12.73	16.79	25.84	18.53	17.86	4.15	21.01	2.77	1.29	1.97	3.45	0.00	3.06	2.36	4.44	7.57	10.21	3.08	4.79	5.42
peak9325	12.41	1.44	2.83	4.27	9.66	5.51	5.64	1.38	0.00	0.00	1.80	1.48	0.99	1.15	3.57	2.36	7.10	3.79	10.21	1.85	3.25	3.42
peak12233	2.31	3.74	18.39	5.69	1.57	3.76	1.88	0.92	9.74	13.83	1.55	7.40	4.93	0.58	10.20	2.95	4.44	15.90	42.53	2.26	37.57	44.18
peak16351	2.31	7.49	1.98	5.98	1.04	1.75	1.88	0.92	3.08	1.38	0.52	1.48	0.00	0.00	2.04	1.77	0.00	0.76	4.25	0.62	2.94	1.14
peak13352	10.68	9.22	6.51	12.52	20.36	17.03	17.86	5.53	3.59	0.69	3.09	5.92	1.97	0.58	2.04	0.59	5.32	7.57	4.25	3.90	6.80	6.84
peak18554	4.33	3.74	3.68	6.83	1.04	0.50	1.88	0.00	2.56	0.00	0.26	0.99	0.99	0.00	0.51	1.18	0.00	6.82	0.00	8.01	6.80	2.42
peak29982	1.15	3.17	8.49	3.70	1.83	2.25	3.76	0.92	2.56	5.53	0.52	0.49	0.49	0.00	1.53	2.36	0.00	0.00	2.55	0.21	0.93	0.71
peak18638	4.04	4.90	5.09	7.11	4.96	2.75	2.82	0.92	3.08	1.38	3.35	0.99	0.99	0.58	1.53	0.00	2.66	2.27	0.85	10.89	3.56	4.56
peak17711	4.62	10.37	3.96	7.68	3.13	2.75	4.00	0.92	3.59	2.77	0.77	0.99	0.49	1.73	0.51	2.95	2.66	4.54	4.25	0.21	1.70	4.42
peak24777	1.15	0.58	6.79	0.28	1.57	2.00	1.88	0.46	1.03	2.07	0.77	1.48	0.49	1.73	0.00	0.00	0.00	0.00	0.00	0.82	0.31	1.71
peak4014	0.87	2.02	0.85	5.12	0.52	0.00	1.41	0.00	2.05	1.04	1.03	1.97	0.49	1.15	0.51	1.77	2.66	0.00	0.00	2.05	0.62	1.28
peak19648	2.60	10.08	11.32	9.96	3.39	3.51	4.00	0.92	4.10	0.69	1.55	1.48	2.47	4.03	2.55	4.71	5.32	6.82	10.21	0.82	5.87	3.99
peak23939	8.37	22.76	25.46	25.89	4.44	1.75	4.47	1.84	2.56	6.22	1.55	3.45	3.95	0.58	2.04	3.54	5.32	13.63	7.66	0.82	1.70	2.28
peak17858	0.87	2.59	1.13	6.26	0.00	1.00	1.18	0.46	0.00	3.46	0.52	1.48	1.48	0.00	0.51	0.00	3.55	0.00	0.85	1.23	0.77	0.57
peak12387	7.51	7.20	8.49	8.54	2.87	2.25	2.82	1.84	3.08	0.00	1.29	0.99	1.97	0.58	2.04	1.77	5.32	12.87	5.95	3.70	2.32	2.42
peak28336	15.01	30.53	15.84	36.99	15.92	20.78	17.39	0.00	20.50	30.42	3.09	14.80	5.43	0.58	8.67	7.07	10.65	24.23	28.07	5.14	33.24	31.35
peak13110	24.54	37.45	30.84	59.47	44.63	40.81	43.48	5.53	17.94	31.45	12.37	7.40	5.92	0.00	19.38	8.25	56.80	84.05	101.22	6.16	19.48	18.10
peak30379	1.15	1.44	1.41	5.12	0.78	0.50	1.41	0.00	0.00	5.88	1.29	1.97	0.99	0.58	2.04	1.18	0.00	0.76	1.70	0.62	1.08	0.14
peak28780	10.10	25.35	24.90	30.16	10.70	19.03	16.45	2.77	10.25	14.86	1.55	6.41	3.45	0.58	20.40	16.50	8.87	29.53	20.41	3.70	15.30	20.81
peak25446	67.27	74.32	52.62	79.95	36.80	24.54	37.37	4.61	10.76	13.83	12.11	18.25	19.73	2.30	12.24	14.14	20.41	42.41	68.05	12.12	34.32	37.20
peak23160	6.93	2.30	1.13	3.70	3.13	1.50	2.12	0.00	0.00	2.07	1.55	0.49	0.99	0.00	0.51	0.00	2.66	0.00	0.85	1.23	0.93	1.00
peak3904	20.79	7.78	6.51	6.83	15.66	10.77	13.87	1.84	6.15	2.77	5.41	3.95	4.44	0.58	3.06	2.95	7.10	6.06	16.16	2.05	6.80	4.99
peak27571	6.35	9.51	9.90	12.23	15.14	15.27	14.81	0.00	7.18	2.07	1.80	3.45	1.97	0.58	6.12	3.54	22.19	18.17	42.53	9.24	10.67	11.26
peak11988	1.15	6.34	2.26	2.85	0.52	1.50	0.00	0.00	0.00	2.07	0.52	0.99	0.00	1.15	1.02	0.59	0.00	0.00	0.00	0.00	0.62	2.00
peak26344	2.89	4.90	6.22	3.13	0.52	1.25	1.18	0.46	2.05	0.35	1.29	2.47	0.99	1.15	0.51	2.95	0.00	0.76	0.00	0.41	1.24	3.42
peak14081	2.31	8.93	3.96	3.98	2.35	1.75	1.18	0.92	1.54	2.42	0.52	0.49	2.47	0.00	1.02	0.59	0.00	0.76	0.85	2.26	1.55	2.00
peak5208	47.35	38.89	28.86	43.82	26.88	24.04	18.33	3.69	7.18	18.32	11.08	11.35	7.89	2.88	10.71	4.13	59.46	127.22	90.16	17.05	17.01	21.24
peak2038	1.44	1.44	8.49	3.13	0.78	1.50	0.94	0.92	0.51	1.38	0.77	0.99	0.99	0.00	0.00	0.59	0.89	1.51	2.55	1.03	0.46	1.57
peak19529	5.77	2.02	1.98	3.98	7.31	3.26	5.64	0.46	0.00	0.69	1.29	3.45	0.99	0.58	3.06	3.54	0.00	0.76	0.85	1.85	2.47	1.14
peak18596	1.15	0.86	0.85	7.97	0.00	0.50	1.18	0.00	1.03	0.00	1.29	0.00	0.99	1.15	1.02	0.00	0.00	3.03	1.70	1.44	1.24	1.28
peak10809	9.82	21.32	18.96	28.74	31.06	30.05	29.85	1.38	3.08	8.64	4.38	6.41	1.97	0.58	6.12	4.71	15.97	12.87	23.82	2.88	8.04	8.55
peak8391	6.93	14.40	28.01	22.19	5.48	6.76	7.29	0.46	7.69	5.53	4.12	2.96	0.99	1.15	1.53	0.59	7.10	14.39	27.22	5.34	9.58	7.70
peak22876	5.20	3.46	6.22	3.41	0.00	1.00	1.18	1.38	0.00	0.69	1.55	0.99	1.48	0.00	2.04	0.59	0.00	0.00	0.00	1.85	0.93	1.28
peak7709	28.29	12.67	14.99	6.54	21.40	15.52	25.62	4.61	2.05	1.73	4.12	2.47	0.99	2.30	2.55	2.36	15.09	17.42	26.37	2.05	6.03	3.85
peak21816	3.18	6.91	2.83	7.11	6.26	13.77	17.39	0.00	2.56	8.64	0.77	2.47	3.45	1.15	13.77	7.07	0.00	4.54	11.06	1.23	8.97	6.56
peak8407	1.15	7.20	1.70	9.39	5.74	6.26	4.70	3.23	1.03	1.38	2.32	4.93	3.45	1.73	2.04	1.18	0.00	4.54	6.80	1.23	7.11	2.42
peak15319	2.89	5.18	9.90	12.23	5.48	7.51	7.05	2.77	27.16	41.13	1.29	5.92	1.48	0.58	39.28	14.14	8.87	21.96	25.52	0.62	13.14	10.26
peak11579	18.19	38.60	46.40	52.35	12.01	17.78	17.39	1.84	12.30	5.18	3.09	6.41	7.40	0.00	1.53	1.77	15.09	44.68	74.85	2.67	9.43	6.27
peak5030	4.91	6.63	4.24	2.85	5.22	5.76	4.70	0.00	0.51	0.00	2.32	2.47	2.96	0.00	1.53	1.18	1.77	0.76	0.85	0.41	0.93	0.57
peak5054	33.20	73.74	41.02	81.66	77.52	64.35	72.63	1.84	54.33	23.16	13.14	33.05	18.74	1.15	57.13	27.11	38.16	28.77	81.66	11.91	91.06	64.70
peak6007	5.20	4.32	8.20	5.69	2.61	4.01	2.12	4.15	2.56	2.07	0.52	0.99	1.48	0.00	2.04	1.18	4.44	1.51	4.25	9.04	3.56	6.70
peak252	52.83	47.53	78.09	58.04	77.25	65.35	74.51	7.38	31.26	120.63	18.30	26.64	28.61	5.18	43.87	57.17	30.17	47.71	131.84	19.72	56.58	72.54
peak9045	6.64	2.59	5.66	2.85	2.61	2.50	2.59	1.84	1.54	0.69	1.29	0.99	0.99	0.58	3.57	2.36	0.89	2.27	0.00	7.19	3.71	4.56
peak12490	2.02	9.79	2.83	14.51	0.26	0.50	0.47	0.00	3.08	1.38	1.29	1.48	0.49	2.30	1.53	0.00	1.77	3.79	1.70	0.62	2.16	0.86
peak7808	0.87	2.02	3.96	4.84	1.57	1.50	0.71	0.92	0.00	4.15	0.77	0.49	1.48	1.73	2.04	1.18	0.00	0.00	0.00	0.82	0.46	1.00
peak13369	94.69	93.33	91.38	104.99	16.18	22.54	27.97	3.23	29.21	51.85	4.90	27.62	17.26	2.88	57.64	40.67	110.94	49.22	133.54	12.32	128.78	115.72
peak5186	7.22	5.47	7.36	3.70	2.35	3.51	2.82	0.92	1.03	0.00	0.52	0.00	1.48	0.58	1.02	0.59	0.89	0.76	0.00	3.08	1.70	1.71
peak23296	2.02	3.17	5.94	1.14	2.61	1.25	5.17	0.00	0.00	0.00	1.03	0.99	2.96	0.58	3.57	5.30	2.66	9.84	3.40	0.62	2.94	3.71
peak23630	12.41	23.33	14.99	28.45	39.93	31.30	25.62	0.92	3.08	7.60	8.50	9.87	6.91	0.58	5.61	4.71	17.75	40.13	36.57	4.52	13.45	10.12
peak1161	3.18	4.61	3.40	2.28	4.70	4.01	1.41	0.92	2.56	2.07	1.29	0.49	0.00	0.58	1.53	0.59	0.00	0.76	0.85	0.82	3.25	2.85
peak25871	24.54	14.98	21.22	10.81	64.99	58.59	53.36	1.84	5.13	1.38	9.53	14.31	7.89	0.00	3.57	7.07	15.09	12.12	27.22	4.93	14.07	13.82
peak29651	20.21	16.13	17.82	10.81	19.31	14.27	14.34	2.31	0.00	2.07	4.38	4.44	4.44	0.58	3.57	7.07	26.62	13.63	22.97	2.46	7.73	5.27
peak21556	3.75	6.05	4.81	10.81	18.01	18.53	16.92	0.46	2.05	5.53	1.55	3.45	2.96	1.73	4.59	3.54	5.32	6.82	11.91	1.23	6.18	6.56
peak11570	1.73	11.81	14.71	16.79	1.57	5.01	3.29	0.00	27.68	34.56	0.77	4.93	26.14	1.15	36.22	47.15	9.76	9.84	134.39	3.08	49.16	70.26
peak10992	0.58	0.86	5.38	0.28	1.30	1.25	0.94	2.77	0.00	0.69	0.26	0.49	0.49	2.30	0.51	0.00	0.00	1.51	1.70	1.23	0.62	1.43
peak15403	35.51	41.77	21.78	35.28	10.44	10.27	7.99	1.84	4.10	4.84	1.29	4.44	2.47	1.15	5.10	2.36	11.54	11.36	17.01	2.46	7.42	6.56
peak9332	8.66	9.51	33.38	25.04	13.05	13.27	15.98	1.38	20.50	24.54	3.87	11.84	13.81	2.88	35.20	20.63	20.41	65.12	216.05	4.72	39.89	32.78
peak13812	36.09	38.89	40.74	54.91	29.75	28.04	32.67	2.77	16.40	15.21	8.76	12.33	9.87	1.73	32.65	20.63	16.86	11.36	34.02	11.09	48.54	40.05
peak28365	11.84	4.03	2.55	3.98	4.96	3.00	3.76	0.92	0.00	2.07	0.77	1.97	0.49	0.00	0.51	1.77	0.89	2.27	0.85	0.62	1.70	2.14
peak15677	12.70	6.63	5.94	7.11	5.22	3.76	3.76	0.92	1.03	1.73	2.06	1.97	3.45	0.00	1.53	0.59	21.30	5.30	17.01	2.88	6.03	5.99
peak12998	1.73	0.86	6.51	2.85	0.52	0.25	0.71	3.69	0.00	1.38	1.29	1.48	0.49	0.00	0.51	1.18	1.77	0.76	0.00	1.85	1.70	1.28
peak6369	4.91	9.22	7.64	7.40	12.79	9.01	10.81	2.77	4.61	3.80	2.32	4.93	1.97	2.30	5.10	1.77	2.66	13.63	17.01	2.46	10.51	10.12
peak1924	6.06	2.88	8.77	5.69	5.74	4.26	8.70	0.92	1.03	4.49	1.55	0.00	2.96	1.73	5.10	9.43	8.87	9.84	9.36	3.29	8.35	8.27
peak30223	3.46	1.44	6.22	0.85	2.09	2.00	3.29	0.92	0.00	1.04	1.29	0.49	0.99	0.00	1.02	1.18	7.99	5.30	5.95	0.21	0.46	1.43
peak21427	6.35	8.35	12.45	5.98	7.57	6.01	14.10	0.46	1.54	0.00	1.80	2.47	5.43	1.15	2.55	2.95	5.32	3.79	30.62	4.11	6.49	7.41
peak17389	1.73	2.88	7.92	2.28	1.04	1.25	2.12	0.92	2.56	1.38	1.03	0.00	0.99	0.58	2.55	0.59	0.00	3.03	1.70	2.67	2.78	1.57
peak12181	32.91	18.15	22.63	23.62	49.33	59.59	54.06	2.31	48.69	139.30	15.72	38.48	21.21	5.75	34.18	27.70	15.09	9.84	81.66	10.27	53.64	53.73
peak13847	12.70	21.03	6.79	32.44	8.61	11.77	11.52	3.23	6.66	3.46	4.12	7.89	2.47	1.73	4.59	0.59	1.77	6.06	12.76	1.85	15.77	4.70
peak24861	6.35	13.83	9.34	13.66	5.22	5.76	7.52	1.38	9.23	6.57	2.58	2.96	13.32	3.45	6.12	10.02	6.21	18.17	216.90	5.14	23.81	46.46
peak14223	11.84	26.79	28.86	43.25	16.44	21.53	13.87	0.92	9.74	8.64	3.35	7.40	3.45	0.00	5.10	2.95	10.65	30.29	19.56	2.88	8.50	5.84
peak5419	14.43	7.78	12.17	9.96	24.79	24.54	22.33	1.84	1.54	3.46	5.41	7.40	5.92	1.73	6.12	2.95	7.99	17.42	32.32	4.11	10.82	11.69
peak7012	0.00	0.86	4.81	0.57	0.78	1.75	1.65	0.46	1.03	2.07	1.55	0.49	0.49	0.00	0.51	1.18	0.00	0.00	0.00	2.46	1.08	1.28
peak5987	0.87	3.46	7.36	11.67	0.52	0.50	1.18	0.92	0.00	11.06	0.26	0.00	0.49	0.58	0.51	5.30	0.00	0.00	3.40	1.03	0.62	2.57
peak26687	27.43	39.46	42.16	41.83	24.53	23.29	22.09	0.46	5.64	26.61	7.22	3.95	4.44	5.18	21.94	19.45	83.42	41.65	91.86	9.04	26.28	31.35
peak15891	2.89	8.35	5.94	17.36	13.83	12.77	15.04	3.23	3.08	11.06	3.61	2.96	3.45	0.58	2.04	3.54	15.97	19.69	16.16	2.46	5.72	4.70
peak923	1.73	2.88	6.79	0.28	0.26	1.25	1.41	1.84	1.03	3.46	0.52	0.00	0.49	0.00	3.06	4.71	0.00	0.76	0.00	0.82	1.24	2.99
peak19252	2.60	10.37	20.94	24.47	3.65	4.01	5.17	1.38	2.05	18.67	1.03	4.44	3.45	1.15	3.06	1.18	1.77	0.76	2.55	1.85	2.63	2.00
peak16460	11.84	4.61	2.83	7.68	16.96	11.52	7.76	0.00	2.05	0.00	1.55	9.87	3.45	1.15	4.59	2.36	1.77	2.27	2.55	1.23	6.80	7.27
peak21294	0.58	2.88	0.57	7.11	1.04	0.50	1.18	0.00	0.00	1.38	1.03	0.99	0.99	0.58	1.02	0.00	2.66	0.00	2.55	1.23	1.08	0.86
peak13099	0.00	5.47	5.66	5.98	0.52	2.00	1.65	0.92	7.18	17.28	0.00	1.48	2.47	2.30	2.04	0.00	0.89	3.03	5.10	1.03	1.86	1.43
peak19653	0.58	5.18	0.57	1.42	0.00	0.50	0.24	1.38	2.05	2.77	0.00	0.00	0.49	0.00	0.00	0.59	0.00	0.76	0.00	0.41	0.31	0.14
peak9377	13.28	7.49	5.66	17.64	20.62	22.03	22.80	4.61	3.08	1.38	4.38	5.92	5.43	0.58	2.55	0.59	15.09	8.33	17.01	4.31	7.42	6.27
peak2372	17.90	13.25	13.01	19.06	3.65	3.76	4.94	1.84	9.23	3.46	2.32	3.45	5.43	1.73	1.53	1.18	4.44	6.06	4.25	15.41	8.35	7.55
peak19566	0.00	10.08	0.28	3.13	0.78	0.50	0.47	0.00	2.05	5.53	1.29	0.49	0.49	0.00	1.02	1.18	0.00	0.00	0.00	0.62	0.62	0.29
peak19133	25.98	36.01	31.97	40.97	25.84	25.79	21.62	2.77	8.20	5.53	2.83	3.95	4.93	0.58	2.04	1.18	2.66	3.79	5.95	1.03	2.01	2.28
peak21310	53.41	69.71	46.12	76.54	32.10	32.05	43.72	2.77	23.58	10.37	9.02	13.81	17.26	1.73	17.85	6.48	30.17	28.77	79.10	5.55	25.35	30.64
peak19278	2.31	7.78	2.26	9.11	2.87	2.00	3.53	1.84	2.05	4.49	1.29	1.48	3.95	0.58	4.08	5.30	2.66	5.30	0.85	1.85	4.48	5.56
